date,mergePR
2015-11-18,2.69
2015-11-19,2.69
2015-11-20,2.69
2015-11-21,2.69
2015-11-22,2.69
2015-11-23,2.69
2015-11-24,2.69
2015-11-25,2.69
2015-11-26,2.69
2015-11-27,2.69
2015-11-28,2.69
2015-11-29,2.69
2015-11-30,2.69
2015-12-01,2.69
2015-12-02,2.69
2015-12-03,2.69
2015-12-04,2.69
2015-12-05,2.69
2015-12-06,2.69
2015-12-07,2.69
2015-12-08,2.69
2015-12-09,2.69
2015-12-10,2.69
2015-12-11,2.69
2015-12-12,2.69
2015-12-13,2.69
2015-12-14,2.69
2015-12-15,2.69
2015-12-16,2.69
2015-12-17,2.69
2015-12-18,2.69
2015-12-19,2.69
2015-12-20,0.75
2015-12-21,0.75
2015-12-22,0.75
2015-12-23,0.75
2015-12-24,0.75
2015-12-25,0.75
2015-12-26,0.75
2015-12-27,0.75
2015-12-28,0.75
2015-12-29,0.75
2015-12-30,0.75
2015-12-31,0.75
2016-01-01,0.75
2016-01-02,0.75
2016-01-03,0.75
2016-01-04,0.75
2016-01-05,0.75
2016-01-06,0.75
2016-01-07,0.75
2016-01-08,0.75
2016-01-09,0.75
2016-01-10,0.75
2016-01-11,0.75
2016-01-12,0.75
2016-01-13,0.75
2016-01-14,0.75
2016-01-15,0.75
2016-01-16,0.75
2016-01-17,0.75
2016-01-18,0.75
2016-01-19,0.75
2016-01-20,0.75
2016-01-21,1.25
2016-01-22,1.25
2016-01-23,1.25
2016-01-24,1.25
2016-01-25,1.25
2016-01-26,1.25
2016-01-27,1.25
2016-01-28,1.25
2016-01-29,1.25
2016-01-30,1.25
2016-01-31,1.25
2016-02-01,1.25
2016-02-02,1.25
2016-02-03,1.25
2016-02-04,1.25
2016-02-05,1.25
2016-02-06,1.25
2016-02-07,1.25
2016-02-08,1.25
2016-02-09,1.25
2016-02-10,1.25
2016-02-11,1.25
2016-02-12,1.25
2016-02-13,1.25
2016-02-14,1.25
2016-02-15,1.25
2016-02-16,1.25
2016-02-17,1.25
2016-02-18,1.25
2016-02-19,1.25
2016-02-20,1.25
2016-02-21,1.25
2016-02-22,1.19
2016-02-23,1.19
2016-02-24,1.19
2016-02-25,1.19
2016-02-26,1.19
2016-02-27,1.19
2016-02-28,1.19
2016-02-29,1.19
2016-03-01,1.19
2016-03-02,1.19
2016-03-03,1.19
2016-03-04,1.19
2016-03-05,1.19
2016-03-06,1.19
2016-03-07,1.19
2016-03-08,1.19
2016-03-09,1.19
2016-03-10,1.19
2016-03-11,1.19
2016-03-12,1.19
2016-03-13,1.19
2016-03-14,1.19
2016-03-15,1.19
2016-03-16,1.19
2016-03-17,1.19
2016-03-18,1.19
2016-03-19,1.19
2016-03-20,1.19
2016-03-21,1.19
2016-03-22,1.19
2016-03-23,1.19
2016-03-24,1.19
2016-03-25,1.66
2016-03-26,1.66
2016-03-27,1.66
2016-03-28,1.66
2016-03-29,1.66
2016-03-30,1.66
2016-03-31,1.66
2016-04-01,1.66
2016-04-02,1.66
2016-04-03,1.66
2016-04-04,1.66
2016-04-05,1.66
2016-04-06,1.66
2016-04-07,1.66
2016-04-08,1.66
2016-04-09,1.66
2016-04-10,1.66
2016-04-11,1.66
2016-04-12,1.66
2016-04-13,1.66
2016-04-14,1.66
2016-04-15,1.66
2016-04-16,1.66
2016-04-17,1.66
2016-04-18,1.66
2016-04-19,1.66
2016-04-20,1.66
2016-04-21,1.66
2016-04-22,1.66
2016-04-23,1.66
2016-04-24,1.66
2016-04-25,1.66
2016-04-26,0.97
2016-04-27,0.97
2016-04-28,0.97
2016-04-29,0.97
2016-04-30,0.97
2016-05-01,0.97
2016-05-02,0.97
2016-05-03,0.97
2016-05-04,0.97
2016-05-05,0.97
2016-05-06,0.97
2016-05-07,0.97
2016-05-08,0.97
2016-05-09,0.97
2016-05-10,0.97
2016-05-11,0.97
2016-05-12,0.97
2016-05-13,0.97
2016-05-14,0.97
2016-05-15,0.97
2016-05-16,0.97
2016-05-17,0.97
2016-05-18,0.97
2016-05-19,0.97
2016-05-20,0.97
2016-05-21,0.97
2016-05-22,0.97
2016-05-23,0.97
2016-05-24,0.97
2016-05-25,0.97
2016-05-26,0.97
2016-05-27,0.97
2016-05-28,1.69
2016-05-29,1.69
2016-05-30,1.69
2016-05-31,1.69
2016-06-01,1.69
2016-06-02,1.69
2016-06-03,1.69
2016-06-04,1.69
2016-06-05,1.69
2016-06-06,1.69
2016-06-07,1.69
2016-06-08,1.69
2016-06-09,1.69
2016-06-10,1.69
2016-06-11,1.69
2016-06-12,1.69
2016-06-13,1.69
2016-06-14,1.69
2016-06-15,1.69
2016-06-16,1.69
2016-06-17,1.69
2016-06-18,1.69
2016-06-19,1.69
2016-06-20,1.69
2016-06-21,1.69
2016-06-22,1.69
2016-06-23,1.69
2016-06-24,1.69
2016-06-25,1.69
2016-06-26,1.69
2016-06-27,1.69
2016-06-28,1.69
2016-06-29,1.63
2016-06-30,1.63
2016-07-01,1.63
2016-07-02,1.63
2016-07-03,1.63
2016-07-04,1.63
2016-07-05,1.63
2016-07-06,1.63
2016-07-07,1.63
2016-07-08,1.63
2016-07-09,1.63
2016-07-10,1.63
2016-07-11,1.63
2016-07-12,1.63
2016-07-13,1.63
2016-07-14,1.63
2016-07-15,1.63
2016-07-16,1.63
2016-07-17,1.63
2016-07-18,1.63
2016-07-19,1.63
2016-07-20,1.63
2016-07-21,1.63
2016-07-22,1.63
2016-07-23,1.63
2016-07-24,1.63
2016-07-25,1.63
2016-07-26,1.63
2016-07-27,1.63
2016-07-28,1.63
2016-07-29,1.63
2016-07-30,1.63
2016-07-31,1.75
2016-08-01,1.75
2016-08-02,1.75
2016-08-03,1.75
2016-08-04,1.75
2016-08-05,1.75
2016-08-06,1.75
2016-08-07,1.75
2016-08-08,1.75
2016-08-09,1.75
2016-08-10,1.75
2016-08-11,1.75
2016-08-12,1.75
2016-08-13,1.75
2016-08-14,1.75
2016-08-15,1.75
2016-08-16,1.75
2016-08-17,1.75
2016-08-18,1.75
2016-08-19,1.75
2016-08-20,1.75
2016-08-21,1.75
2016-08-22,1.75
2016-08-23,1.75
2016-08-24,1.75
2016-08-25,1.75
2016-08-26,1.75
2016-08-27,1.75
2016-08-28,1.75
2016-08-29,1.75
2016-08-30,1.75
2016-08-31,1.75
2016-09-01,1.88
2016-09-02,1.88
2016-09-03,1.88
2016-09-04,1.88
