date,IssueComment
2015-11-18,87
2015-11-19,382
2015-11-20,259
2015-11-21,134
2015-11-22,118
2015-11-23,244
2015-11-24,367
2015-11-25,144
2015-11-26,187
2015-11-27,126
2015-11-28,27
2015-11-29,26
2015-11-30,169
2015-12-01,151
2015-12-02,171
2015-12-03,147
2015-12-04,163
2015-12-05,44
2015-12-06,25
2015-12-07,137
2015-12-08,113
2015-12-09,124
2015-12-10,85
2015-12-11,106
2015-12-12,32
2015-12-13,19
2015-12-14,173
2015-12-15,164
2015-12-16,174
2015-12-17,124
2015-12-18,119
2015-12-19,98
2015-12-20,60
2015-12-21,154
2015-12-22,129
2015-12-23,117
2015-12-24,56
2015-12-25,15
2015-12-26,13
2015-12-27,8
2015-12-28,62
2015-12-29,74
2015-12-30,44
2015-12-31,12
2016-01-01,8
2016-01-02,7
2016-01-03,51
2016-01-04,133
2016-01-05,140
2016-01-06,103
2016-01-07,94
2016-01-08,103
2016-01-09,21
2016-01-10,22
2016-01-11,162
2016-01-12,130
2016-01-13,145
2016-01-14,119
2016-01-15,56
2016-01-16,28
2016-01-17,26
2016-01-18,92
2016-01-19,83
2016-01-20,91
2016-01-21,74
2016-01-22,90
2016-01-23,60
2016-01-24,16
2016-01-25,83
2016-01-26,213
2016-01-27,218
2016-01-28,163
2016-01-29,155
2016-01-30,43
2016-01-31,23
2016-02-01,118
2016-02-02,180
2016-02-03,122
2016-02-04,110
2016-02-05,116
2016-02-06,59
2016-02-07,17
2016-02-08,88
2016-02-09,171
2016-02-10,227
2016-02-11,130
2016-02-12,97
2016-02-13,22
2016-02-14,18
2016-02-15,71
2016-02-16,106
2016-02-17,83
2016-02-18,113
2016-02-19,83
2016-02-20,67
2016-02-21,64
2016-02-22,183
2016-02-23,147
2016-02-24,211
2016-02-25,170
2016-02-26,99
2016-02-27,34
2016-02-28,29
2016-02-29,212
2016-03-01,212
2016-03-02,149
2016-03-03,193
2016-03-04,132
2016-03-05,35
2016-03-06,31
2016-03-07,161
2016-03-08,319
2016-03-09,256
2016-03-10,195
2016-03-11,234
2016-03-12,76
2016-03-13,51
2016-03-14,349
2016-03-15,297
2016-03-16,296
2016-03-17,319
2016-03-18,172
2016-03-19,32
2016-03-20,43
2016-03-21,280
2016-03-22,179
2016-03-23,164
2016-03-24,149
2016-03-25,44
2016-03-26,39
2016-03-27,16
2016-03-28,64
2016-03-29,190
2016-03-30,154
2016-03-31,149
2016-04-01,144
2016-04-02,38
2016-04-03,36
2016-04-04,172
2016-04-05,183
2016-04-06,131
2016-04-07,176
2016-04-08,113
2016-04-09,43
2016-04-10,16
2016-04-11,116
2016-04-12,86
2016-04-13,142
