date,mergePR
2015-12-17,2.77
2015-12-18,2.7
2015-12-19,2.47
2015-12-20,2.27
2015-12-21,2.2
2015-12-22,2.2
2015-12-23,1.83
2015-12-24,1.57
2015-12-25,1.47
2015-12-26,1.43
2015-12-27,1.3
2015-12-28,1.33
2015-12-29,1.33
2015-12-30,1.3
2015-12-31,1.07
2016-01-01,0.97
2016-01-02,0.93
2016-01-03,0.73
2016-01-04,0.77
2016-01-05,0.77
2016-01-06,0.73
2016-01-07,0.73
2016-01-08,0.63
2016-01-09,0.5
2016-01-10,0.43
2016-01-11,0.5
2016-01-12,0.6
2016-01-13,0.63
2016-01-14,0.7
2016-01-15,0.67
2016-01-16,0.63
2016-01-17,0.57
2016-01-18,0.63
2016-01-19,0.73
2016-01-20,0.8
2016-01-21,0.87
2016-01-22,0.9
2016-01-23,0.87
2016-01-24,0.9
2016-01-25,1.17
2016-01-26,1.17
2016-01-27,1.13
2016-01-28,1.2
2016-01-29,1.23
2016-01-30,1.23
2016-01-31,1.23
2016-02-01,1.3
2016-02-02,1.33
2016-02-03,1.37
2016-02-04,1.37
2016-02-05,1.4
2016-02-06,1.37
2016-02-07,1.33
2016-02-08,1.4
2016-02-09,1.43
2016-02-10,1.37
2016-02-11,1.27
2016-02-12,1.33
2016-02-13,1.27
2016-02-14,1.27
2016-02-15,1.27
2016-02-16,1.33
2016-02-17,1.23
2016-02-18,1.27
2016-02-19,1.33
2016-02-20,1.23
2016-02-21,1.2
2016-02-22,1.37
2016-02-23,1.37
2016-02-24,1.1
2016-02-25,1.1
2016-02-26,1.1
2016-02-27,1.03
2016-02-28,1.0
2016-02-29,1.13
2016-03-01,1.13
2016-03-02,1.1
2016-03-03,1.1
2016-03-04,1.13
2016-03-05,1.13
2016-03-06,1.07
2016-03-07,1.17
2016-03-08,1.17
2016-03-09,1.1
2016-03-10,1.1
2016-03-11,1.17
2016-03-12,1.17
2016-03-13,1.07
2016-03-14,1.07
2016-03-15,1.07
2016-03-16,1.07
2016-03-17,1.13
2016-03-18,1.17
2016-03-19,1.03
2016-03-20,0.9
2016-03-21,0.9
2016-03-22,0.97
2016-03-23,1.0
2016-03-24,1.07
2016-03-25,1.07
2016-03-26,1.07
2016-03-27,1.07
2016-03-28,1.07
2016-03-29,1.1
2016-03-30,0.97
2016-03-31,1.1
2016-04-01,1.17
2016-04-02,1.13
2016-04-03,1.03
2016-04-04,1.13
2016-04-05,1.2
2016-04-06,1.17
2016-04-07,1.17
2016-04-08,1.3
2016-04-09,1.27
2016-04-10,1.2
2016-04-11,1.33
2016-04-12,1.33
2016-04-13,1.43
2016-04-14,1.43
2016-04-15,1.53
2016-04-16,1.43
2016-04-17,1.43
2016-04-18,1.5
2016-04-19,1.6
2016-04-20,1.73
2016-04-21,1.87
2016-04-22,1.73
2016-04-23,1.63
2016-04-24,1.67
2016-04-25,1.77
2016-04-26,1.77
2016-04-27,1.8
2016-04-28,1.77
2016-04-29,1.8
2016-04-30,1.67
2016-05-01,1.57
2016-05-02,1.73
2016-05-03,1.77
2016-05-04,1.8
2016-05-05,1.73
2016-05-06,1.7
2016-05-07,1.7
2016-05-08,1.57
2016-05-09,1.57
2016-05-10,1.6
2016-05-11,1.47
2016-05-12,1.47
2016-05-13,1.37
2016-05-14,1.33
2016-05-15,1.23
2016-05-16,1.27
2016-05-17,1.27
2016-05-18,1.23
2016-05-19,1.17
2016-05-20,1.03
2016-05-21,0.83
2016-05-22,0.9
2016-05-23,1.0
2016-05-24,0.97
2016-05-25,0.93
2016-05-26,0.97
2016-05-27,1.0
2016-05-28,1.0
2016-05-29,0.97
