date,openIssue
2015-12-17,41.73
2015-12-18,40.5
2015-12-19,36.23
2015-12-20,34.27
2015-12-21,34.57
2015-12-22,34.73
2015-12-23,34.07
2015-12-24,32.3
2015-12-25,30.1
2015-12-26,28.93
2015-12-27,28.03
2015-12-28,27.83
2015-12-29,27.83
2015-12-30,27.23
2015-12-31,26.07
2016-01-01,24.5
2016-01-02,23.5
2016-01-03,22.57
2016-01-04,22.87
2016-01-05,23.43
2016-01-06,23.63
2016-01-07,23.6
2016-01-08,23.4
2016-01-09,22.8
2016-01-10,22.3
2016-01-11,22.77
2016-01-12,23.47
2016-01-13,21.77
2016-01-14,21.3
2016-01-15,20.6
2016-01-16,19.83
2016-01-17,19.23
2016-01-18,18.83
2016-01-19,18.93
2016-01-20,17.97
2016-01-21,17.67
2016-01-22,17.73
2016-01-23,17.37
2016-01-24,17.27
2016-01-25,18.5
2016-01-26,22.97
2016-01-27,25.03
2016-01-28,25.73
2016-01-29,26.53
2016-01-30,26.73
2016-01-31,27.13
2016-02-01,27.67
2016-02-02,28.23
2016-02-03,28.67
2016-02-04,29.0
2016-02-05,28.57
2016-02-06,28.53
2016-02-07,27.83
2016-02-08,28.37
2016-02-09,30.03
2016-02-10,30.53
2016-02-11,30.8
2016-02-12,31.1
2016-02-13,30.33
2016-02-14,30.23
2016-02-15,30.53
2016-02-16,31.2
2016-02-17,31.5
2016-02-18,32.13
2016-02-19,32.83
2016-02-20,32.53
2016-02-21,32.2
2016-02-22,33.3
2016-02-23,36.97
2016-02-24,37.17
2016-02-25,33.93
2016-02-26,32.83
2016-02-27,31.8
2016-02-28,30.8
2016-02-29,31.27
2016-03-01,31.8
2016-03-02,32.27
2016-03-03,32.8
2016-03-04,32.8
2016-03-05,32.03
2016-03-06,31.63
2016-03-07,32.17
2016-03-08,34.97
2016-03-09,35.87
2016-03-10,35.0
2016-03-11,35.93
2016-03-12,35.47
2016-03-13,34.93
2016-03-14,38.47
2016-03-15,40.4
2016-03-16,41.53
2016-03-17,42.3
2016-03-18,42.9
2016-03-19,42.07
2016-03-20,41.5
2016-03-21,42.57
2016-03-22,43.83
2016-03-23,43.57
2016-03-24,40.7
2016-03-25,39.7
2016-03-26,38.53
2016-03-27,37.5
2016-03-28,37.9
2016-03-29,39.37
2016-03-30,39.17
2016-03-31,39.03
2016-04-01,38.6
2016-04-02,37.53
2016-04-03,36.7
2016-04-04,37.6
2016-04-05,39.1
2016-04-06,40.23
2016-04-07,37.9
2016-04-08,37.03
2016-04-09,35.9
2016-04-10,34.13
2016-04-11,34.7
2016-04-12,34.93
2016-04-13,31.93
2016-04-14,31.17
2016-04-15,32.0
2016-04-16,31.23
2016-04-17,30.3
