date,mergePR
2023-03-16,1.0
2023-03-17,0.0
2023-03-18,0.0
2023-03-19,0.0
2023-03-20,0.0
2023-03-21,0.0
2023-03-22,0.0
2023-03-23,0.0
2023-03-24,0.0
2023-03-25,0.0
2023-03-26,0.0
2023-03-27,0.0
2023-03-28,0.0
2023-03-29,0.0
2023-03-30,1.0
2023-03-31,0.0
2023-04-01,0.0
2023-04-02,6.0
2023-04-03,7.0
2023-04-04,8.0
2023-04-05,0.0
2023-04-06,17.0
2023-04-07,1.0
2023-04-08,4.0
2023-04-09,8.0
2023-04-10,33.0
2023-04-11,8.0
2023-04-12,26.0
2023-04-13,34.0
2023-04-14,20.0
2023-04-15,55.0
2023-04-16,48.0
2023-04-17,35.0
2023-04-18,13.0
2023-04-19,14.0
2023-04-20,12.0
2023-04-21,22.0
2023-04-22,21.0
2023-04-23,19.0
2023-04-24,18.0
2023-04-25,20.0
2023-04-26,15.0
2023-04-27,16.0
2023-04-28,11.0
2023-04-29,6.0
2023-04-30,8.0
2023-05-01,8.0
2023-05-02,6.0
2023-05-03,3.0
2023-05-04,7.0
2023-05-05,5.0
2023-05-06,2.0
2023-05-07,9.0
2023-05-08,6.0
2023-05-09,3.0
2023-05-10,4.0
2023-05-11,0.0
2023-05-12,7.0
2023-05-13,12.0
2023-05-14,5.0
2023-05-15,6.0
2023-05-16,6.0
2023-05-17,12.0
2023-05-18,3.0
2023-05-19,9.0
2023-05-20,3.0
2023-05-21,4.0
2023-05-22,2.0
2023-05-23,2.0
2023-05-24,14.0
2023-05-25,10.0
2023-05-26,9.0
2023-05-27,2.0
2023-05-28,2.0
2023-05-29,4.0
2023-05-30,5.0
2023-05-31,5.0
2023-06-01,1.0
2023-06-02,3.0
2023-06-03,1.0
2023-06-04,6.0
2023-06-05,1.0
2023-06-06,5.0
2023-06-07,7.0
2023-06-08,1.0
2023-06-09,8.0
2023-06-10,8.0
2023-06-11,7.0
2023-06-12,6.0
2023-06-13,3.0
2023-06-14,4.0
2023-06-15,5.0
2023-06-16,1.0
2023-06-17,5.0
2023-06-18,0.0
2023-06-19,5.0
2023-06-20,4.0
2023-06-21,1.0
2023-06-22,1.0
2023-06-23,0.0
2023-06-24,4.0
2023-06-25,0.0
2023-06-26,3.0
2023-06-27,4.0
2023-06-28,2.0
2023-06-29,1.0
2023-06-30,0.0
2023-07-01,0.0
2023-07-02,2.0
2023-07-03,0.0
2023-07-04,4.0
2023-07-05,5.0
2023-07-06,3.0
2023-07-07,11.0
2023-07-08,7.0
2023-07-09,6.0
2023-07-10,1.0
2023-07-11,4.0
2023-07-12,2.0
2023-07-13,3.0
2023-07-14,4.0
2023-07-15,1.0
2023-07-16,0.0
2023-07-17,3.0
2023-07-18,3.0
2023-07-19,0.0
2023-07-20,3.0
2023-07-21,5.0
2023-07-22,3.0
2023-07-23,0.0
2023-07-24,6.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,0.0
2023-07-28,2.0
2023-07-29,3.0
2023-07-30,1.0
2023-07-31,0.0
2023-08-01,5.0
2023-08-02,0.0
2023-08-03,0.0
2023-08-04,0.0
2023-08-05,0.0
2023-08-06,0.0
2023-08-07,0.0
2023-08-08,0.0
2023-08-09,0.0
2023-08-10,0.0
2023-08-11,2.0
2023-08-12,0.0
2023-08-13,0.0
2023-08-14,0.0
2023-08-15,0.0
2023-08-16,0.0
2023-08-17,1.0
2023-08-18,2.0
2023-08-19,1.0
2023-08-20,0.0
2023-08-21,0.0
2023-08-22,0.0
2023-08-23,0.0
2023-08-24,1.0
2023-08-25,1.0
2023-08-26,0.0
2023-08-27,0.0
2023-08-28,1.0
2023-08-29,0.0
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,0.0
2023-09-03,0.0
2023-09-04,0.0
2023-09-05,1.0
2023-09-06,4.0
2023-09-07,6.0
2023-09-08,4.0
2023-09-09,1.0
2023-09-10,1.0
2023-09-11,1.0
2023-09-12,10.0
2023-09-13,3.0
2023-09-14,5.0
2023-09-15,6.0
2023-09-16,9.0
2023-09-17,3.0
2023-09-18,5.0
