date,IssueComment
2015-01-01,69.0
2015-01-02,69.95238095238095
2015-01-03,71.29024943310657
2015-01-04,73.07213043947736
2015-01-05,76.49383230238428
2015-01-06,80.54203874977625
2015-01-07,84.10946363074994
2015-01-08,92.47999090401186
2015-01-09,91.00570605601072
2015-01-10,92.33849595543828
2015-01-11,91.63959157872986
2015-01-12,93.38820190456512
2015-01-13,98.30361124698749
2015-01-14,100.6556482710839
2015-01-15,96.40272938812352
2015-01-16,97.60246944639748
2015-01-17,94.49747235626438
2015-01-18,90.83104641757254
2015-01-19,88.08523247304181
2015-01-20,88.45806747560925
2015-01-21,90.6049181922179
2015-01-22,88.92825931676857
2015-01-23,87.41128223898109
2015-01-24,84.6102077400305
2015-01-25,83.98066414574188
2015-01-26,82.17298184614742
2015-01-27,87.585078813181
2015-01-28,91.71983321192567
2015-01-29,93.46080147745656
2015-01-30,93.4169156224607
2015-01-31,93.47244746794064
2015-02-01,94.37983342337486
2015-02-02,92.43889690686298
2015-02-03,92.77804958239985
2015-02-04,89.27537819359985
2015-02-05,87.1539136037332
2015-02-06,86.37735040337765
2015-02-07,83.67474560305597
2015-02-08,82.4676269741935
2015-02-09,83.85166250046078
2015-02-10,90.24674226232166
2015-02-11,90.5089572849577
2015-02-12,90.55572325781888
2015-02-13,95.26470199516946
2015-02-14,90.66806370991524
2015-02-15,87.27110526135188
2015-02-16,87.4357619031279
2015-02-17,87.67997505521096
2015-02-18,89.99616790709564
2015-02-19,93.80605667784845
2015-02-20,92.58643223233904
2015-02-21,92.14962916259248
2015-02-22,91.75442638520272
2015-02-23,101.49210006280244
2015-02-24,102.77856672348793
2015-02-25,105.9425127498224
2015-02-26,104.80513058317266
2015-02-27,103.29988005144192
2015-02-28,100.69989147511411
2015-03-01,98.0618065727223
2015-03-02,99.1987773753202
2015-03-03,104.22746524433732
2015-03-04,104.01532569725757
2015-03-05,100.01386610704256
2015-03-06,95.3458788587528
2015-03-07,95.59865230077634
2015-03-08,94.58925684355955
2015-03-09,92.53313714417293
2015-03-10,92.29188598758503
2015-03-11,93.50218256019598
2015-03-12,99.9305461258916
2015-03-13,99.36573220914
2015-03-14,96.66423390350762
2015-03-15,97.36287829364974
2015-03-16,96.37593750377836
2015-03-17,95.86394345579946
2015-03-18,95.49594884096142
2015-03-19,100.68681085610794
2015-03-20,100.90711458409766
2015-03-21,96.05881795704072
2015-03-22,92.62464481827494
2015-03-23,92.469916740344
2015-03-24,92.32992466983504
2015-03-25,92.4889794631841
2015-03-26,92.82336237145228
2015-03-27,92.17351833607589
2015-03-28,88.15699278025912
2015-03-29,87.18966013452015
2015-03-30,85.45731155028014
2015-03-31,90.08042473596774
2015-04-01,91.40609857063748
2015-04-02,92.79599394486247
2015-04-03,91.67256595011368
2015-04-04,88.6561310977219
2015-04-05,84.78411861222457
