date,openIssue
2015-11-18,61.08
2015-11-19,58.83
2015-11-20,56.61
2015-11-21,54.4
2015-11-22,52.2
2015-11-23,49.99
2015-11-24,47.81
2015-11-25,45.71
2015-11-26,43.75
2015-11-27,42.03
2015-11-28,40.56
2015-11-29,38.81
2015-11-30,36.78
2015-12-01,34.59
2015-12-02,32.59
2015-12-03,31.14
2015-12-04,30.2
2015-12-05,29.45
2015-12-06,28.57
2015-12-07,27.6
2015-12-08,26.82
2015-12-09,26.44
2015-12-10,26.53
2015-12-11,26.96
2015-12-12,27.55
2015-12-13,28.23
2015-12-14,28.87
2015-12-15,29.34
2015-12-16,29.63
2015-12-17,29.75
2015-12-18,29.61
2015-12-19,29.08
2015-12-20,27.93
2015-12-21,26.2
2015-12-22,24.14
2015-12-23,22.11
2015-12-24,20.33
2015-12-25,18.71
2015-12-26,17.16
2015-12-27,15.69
2015-12-28,14.49
2015-12-29,13.76
2015-12-30,13.62
2015-12-31,14.1
2016-01-01,14.92
2016-01-02,15.81
2016-01-03,16.64
2016-01-04,17.41
2016-01-05,18.23
2016-01-06,19.2
2016-01-07,20.25
2016-01-08,21.19
2016-01-09,21.76
2016-01-10,21.85
2016-01-11,21.54
2016-01-12,21.01
2016-01-13,20.46
2016-01-14,20.1
2016-01-15,19.91
2016-01-16,19.75
2016-01-17,19.6
2016-01-18,19.48
2016-01-19,19.59
2016-01-20,20.36
2016-01-21,21.87
2016-01-22,23.58
2016-01-23,25.01
2016-01-24,26.04
2016-01-25,26.76
2016-01-26,27.37
2016-01-27,28.03
2016-01-28,28.76
2016-01-29,29.46
2016-01-30,29.91
2016-01-31,29.85
2016-02-01,29.14
2016-02-02,28.08
2016-02-03,27.34
2016-02-04,27.26
2016-02-05,27.51
2016-02-06,27.74
2016-02-07,27.74
2016-02-08,27.49
2016-02-09,27.11
2016-02-10,26.88
2016-02-11,26.99
2016-02-12,27.32
2016-02-13,27.68
2016-02-14,27.89
2016-02-15,27.84
2016-02-16,27.73
2016-02-17,27.99
2016-02-18,28.79
2016-02-19,29.8
2016-02-20,30.59
2016-02-21,31.04
2016-02-22,31.23
2016-02-23,31.32
2016-02-24,31.49
2016-02-25,31.77
2016-02-26,32.05
2016-02-27,32.16
2016-02-28,31.98
2016-02-29,31.42
2016-03-01,30.73
2016-03-02,30.5
2016-03-03,31.08
2016-03-04,32.17
2016-03-05,33.35
2016-03-06,34.4
2016-03-07,35.34
2016-03-08,36.31
2016-03-09,37.52
2016-03-10,38.91
2016-03-11,40.24
2016-03-12,41.35
2016-03-13,42.15
2016-03-14,42.49
2016-03-15,42.31
2016-03-16,41.79
2016-03-17,41.15
2016-03-18,40.42
2016-03-19,39.36
2016-03-20,37.75
2016-03-21,35.68
2016-03-22,33.39
2016-03-23,31.4
2016-03-24,29.94
2016-03-25,28.84
2016-03-26,27.83
2016-03-27,26.87
2016-03-28,26.07
2016-03-29,25.65
2016-03-30,25.81
2016-03-31,26.48
2016-04-01,27.24
2016-04-02,27.73
2016-04-03,27.91
2016-04-04,27.82
2016-04-05,27.65
2016-04-06,27.72
2016-04-07,28.27
2016-04-08,29.17
2016-04-09,30.02
2016-04-10,30.62
2016-04-11,31.02
2016-04-12,31.48
2016-04-13,32.34
2016-04-14,33.78
2016-04-15,35.53
2016-04-16,37.17
2016-04-17,38.51
2016-04-18,39.53
2016-04-19,40.34
2016-04-20,41.06
2016-04-21,41.69
2016-04-22,41.95
