date,star_change,fork_change
2015/11/18  0:00,0.0,0.0
2015/11/19  0:00,1830.0,202.0
2015/11/20  0:00,549.0,48.0
2015/11/21  0:00,433.0,51.0
2015/11/22  0:00,284.0,46.0
2015/11/23  0:00,204.0,27.0
2015/11/24  0:00,237.0,39.0
2015/11/25  0:00,106.0,29.0
2015/11/26  0:00,201.0,48.0
2015/11/27  0:00,121.0,25.0
2015/11/28  0:00,58.0,8.0
2015/11/29  0:00,51.0,10.0
2015/11/30  0:00,106.0,17.0
2015/12/01  0:00,47.0,9.0
2015/12/02  0:00,67.0,8.0
2015/12/03  0:00,92.0,26.0
2015/12/04  0:00,37.0,14.0
2015/12/06  0:00,67.0,16.0
2015/12/07  0:00,86.0,27.0
2015/12/08  0:00,20.0,5.0
2015/12/09  0:00,59.0,21.0
2015/12/10  0:00,38.0,1.0
2015/12/11  0:00,23.0,5.0
2015/12/12  0:00,23.0,9.0
2015/12/15  0:00,137.0,34.0
2015/12/16  0:00,24.0,7.0
2015/12/17  0:00,43.0,13.0
2015/12/18  0:00,27.0,9.0
2015/12/19  0:00,21.0,1.0
2015/12/20  0:00,36.0,3.0
2015/12/21  0:00,59.0,4.0
2015/12/22  0:00,33.0,1.0
2015/12/23  0:00,21.0,8.0
2015/12/24  0:00,41.0,4.0
2015/12/25  0:00,26.0,3.0
2015/12/26  0:00,17.0,2.0
2015/12/28  0:00,53.0,6.0
2015/12/29  0:00,21.0,1.0
2015/12/30  0:00,19.0,0.0
2015/12/31  0:00,26.0,5.0
2016/01/01  0:00,11.0,2.0
2016/01/03  0:00,26.0,5.0
2016/01/04  0:00,33.0,6.0
2016/01/05  0:00,29.0,8.0
2016/01/06  0:00,93.0,15.0
2016/01/07  0:00,12.0,3.0
2016/01/08  0:00,27.0,5.0
2016/01/09  0:00,32.0,1.0
2016/01/11  0:00,40.0,7.0
2016/01/12  0:00,25.0,12.0
2016/01/13  0:00,46.0,10.0
2016/01/14  0:00,30.0,5.0
2016/01/15  0:00,53.0,4.0
2016/01/16  0:00,28.0,9.0
2016/01/17  0:00,27.0,6.0
2016/01/18  0:00,13.0,0.0
2016/01/19  0:00,53.0,10.0
2016/01/20  0:00,27.0,6.0
2016/01/21  0:00,30.0,6.0
2016/01/22  0:00,25.0,6.0
2016/01/23  0:00,19.0,7.0
2016/01/24  0:00,29.0,8.0
2016/01/25  0:00,13.0,2.0
2016/01/27  0:00,94.0,13.0
2016/01/28  0:00,17.0,4.0
2016/01/29  0:00,11.0,-1.0
2016/01/30  0:00,36.0,5.0
2016/01/31  0:00,26.0,4.0
2016/02/01  0:00,34.0,7.0
2016/02/02  0:00,23.0,6.0
2016/02/03  0:00,28.0,8.0
2016/02/04  0:00,7.0,2.0
2016/02/05  0:00,24.0,11.0
2016/02/06  0:00,19.0,4.0
2016/02/08  0:00,42.0,7.0
2016/02/09  0:00,35.0,3.0
2016/02/10  0:00,13.0,1.0
2016/02/11  0:00,39.0,11.0
2016/02/12  0:00,24.0,4.0
2016/02/14  0:00,36.0,8.0
2016/02/15  0:00,39.0,3.0
2016/02/16  0:00,39.0,7.0
2016/02/17  0:00,28.0,4.0
2016/02/18  0:00,29.0,8.0
2016/02/19  0:00,23.0,2.0
2016/02/20  0:00,12.0,3.0
2016/02/22  0:00,66.0,9.0
2016/02/23  0:00,19.0,2.0
2016/02/24  0:00,10.0,1.0
2016/02/26  0:00,74.0,12.0
2016/02/27  0:00,31.0,6.0
2016/02/28  0:00,1.0,1.0
2016/02/29  0:00,47.0,7.0
2016/03/02  0:00,63.0,7.0
2016/03/03  0:00,76.0,12.0
2016/03/04  0:00,29.0,3.0
2016/03/06  0:00,23.0,4.0
2016/03/07  0:00,25.0,0.0
2016/03/08  0:00,47.0,6.0
2016/03/09  0:00,61.0,7.0
2016/03/10  0:00,39.0,3.0
2016/03/11  0:00,24.0,3.0
2016/03/12  0:00,25.0,1.0
2016/03/14  0:00,47.0,3.0
2016/03/15  0:00,42.0,10.0
2016/03/16  0:00,39.0,1.0
2016/03/17  0:00,48.0,3.0
2016/03/18  0:00,29.0,1.0
2016/03/20  0:00,43.0,10.0
2016/03/21  0:00,18.0,6.0
2016/03/22  0:00,38.0,6.0
2016/03/23  0:00,40.0,0.0
2016/03/24  0:00,13.0,3.0
2016/03/27  0:00,65.0,13.0
2016/03/28  0:00,22.0,-2.0
2016/03/29  0:00,35.0,13.0
2016/03/30  0:00,45.0,8.0
2016/03/31  0:00,38.0,2.0
2016/04/01  0:00,50.0,7.0
2016/04/03  0:00,52.0,8.0
2016/04/04  0:00,47.0,3.0
2016/04/05  0:00,1.0,1.0
2016/04/06  0:00,46.0,6.0
2016/04/07  0:00,67.0,5.0
2016/04/08  0:00,30.0,2.0
2016/04/09  0:00,11.0,5.0
2016/04/10  0:00,26.0,2.0
2016/04/11  0:00,34.0,9.0
2016/04/12  0:00,37.0,4.0
2016/04/13  0:00,33.0,4.0
2016/04/14  0:00,306.0,31.0
2016/04/15  0:00,289.0,45.0
2016/04/16  0:00,63.0,9.0
2016/04/17  0:00,138.0,17.0
2016/04/18  0:00,81.0,7.0
2016/04/19  0:00,63.0,8.0
2016/04/20  0:00,84.0,7.0
2016/04/21  0:00,27.0,7.0
2016/04/22  0:00,55.0,7.0
2016/04/23  0:00,53.0,2.0
2016/04/24  0:00,35.0,6.0
2016/04/25  0:00,27.0,5.0
2016/04/26  0:00,11.0,3.0
2016/04/27  0:00,40.0,2.0
2016/04/28  0:00,31.0,7.0
2016/04/29  0:00,43.0,7.0
2016/04/30  0:00,7.0,2.0
2016/05/01  0:00,30.0,5.0
2016/05/02  0:00,32.0,2.0
2016/05/03  0:00,29.0,3.0
2016/05/04  0:00,32.0,5.0
2016/05/05  0:00,40.0,6.0
2016/05/06  0:00,12.0,2.0
2016/05/08  0:00,72.0,6.0
2016/05/10  0:00,91.0,9.0
2016/05/12  0:00,89.0,9.0
2016/05/13  0:00,51.0,7.0
2016/05/14  0:00,29.0,4.0
2016/05/15  0:00,16.0,2.0
2016/05/16  0:00,33.0,4.0
2016/05/17  0:00,81.0,14.0
2016/05/18  0:00,42.0,-2.0
2016/05/19  0:00,34.0,11.0
2016/05/20  0:00,30.0,2.0
2016/05/22  0:00,47.0,6.0
2016/05/23  0:00,54.0,13.0
2016/05/24  0:00,3.0,2.0
2016/05/25  0:00,63.0,17.0
