date,mergePR
2015-11-18,3.0932245907839016
2015-11-19,3.390871969845715
2015-11-20,3.6651061297973184
2015-11-21,3.900781324514723
2015-11-22,4.084651396138919
2015-11-23,4.206255119818985
2015-11-24,4.25862603862099
2015-11-25,4.238767451112194
2015-11-26,4.147850979366464
2015-11-27,3.9911188149980767
2015-11-28,3.7774934833917087
2015-11-29,3.5189227415756554
2015-11-30,3.2295089674737083
2015-12-01,2.924490201994592
2015-12-02,2.619152297509324
2015-12-03,2.3277573092246056
2015-12-04,2.062571818427512
2015-12-05,1.833070402160212
2015-12-06,1.6453746836605805
2015-12-07,1.5019685872283783
2015-12-08,1.401707296479198
2015-12-09,1.3401129808222951
2015-12-10,1.3099267254543914
2015-12-11,1.301865310304166
2015-12-12,1.3055153085791646
2015-12-13,1.3102867746032267
2015-12-14,1.3063453867075627
2015-12-15,1.2854455215496945
2015-12-16,1.241596957820898
2015-12-17,1.1715137559143072
2015-12-18,1.074813864129867
2015-12-19,0.9539603381252356
2015-12-20,0.8139577204750406
2015-12-21,0.6618381005969348
2015-12-22,0.5059888293916368
2015-12-23,0.355386306570067
2015-12-24,0.2188066727509011
2015-12-25,0.1040841626396949
2015-12-26,0.0174814431794632
2015-12-27,-0.0367758211935449
2015-12-28,-0.0567644554521923
2015-12-29,-0.0429129581321609
2015-12-30,0.0021615917166383
2015-12-31,0.0740053777647404
2016-01-01,0.1668280729082029
2016-01-02,0.274098412658484
2016-01-03,0.3891746793994687
2016-01-04,0.505908125188207
2016-01-05,0.6191617266938149
2016-01-06,0.7251964215059488
2016-01-07,0.8218911107709614
2016-01-08,0.9087798220539932
2016-01-09,0.9869078401605031
2016-01-10,1.0585265614324455
2016-01-11,1.1266626020444783
2016-01-12,1.1946088099052097
2016-01-13,1.265392170348636
2016-01-14,1.3412754980598207
2016-01-15,1.4233461325864416
2016-01-16,1.5112359929726202
2016-01-17,1.6030041780384006
2016-01-18,1.695197104822909
2016-01-19,1.7830835203041415
2016-01-20,1.8610442930854083
2016-01-21,1.9230813556155304
2016-01-22,1.963398001831016
2016-01-23,1.976995105029346
2016-01-24,1.960225431693286
2016-01-25,1.9112513185419788
2016-01-26,1.8303592669370736
2016-01-27,1.7200977195097735
2016-01-28,1.5852202351691127
2016-01-29,1.432433987416758
2016-01-30,1.2699713337660623
2016-01-31,1.107018491036723
2016-02-01,0.9530485991103936
2016-02-02,0.817115446731529
2016-02-03,0.7071680465706051
2016-02-04,0.6294447335274863
2016-02-05,0.5879986714321237
2016-02-06,0.5843952240840868
2016-02-07,0.6176066343801588
2016-02-08,0.6841122393921804
2016-02-09,0.7781946013547035
2016-02-10,0.8924050723729751
2016-02-11,1.018157948702474
2016-02-12,1.1464017811626066
2016-02-13,1.2683105071290035
2016-02-14,1.3759363341891655
2016-02-15,1.462770736015839
2016-02-16,1.5241690449041954
2016-02-17,1.5576070466545648
2016-02-18,1.5627534699343275
2016-02-19,1.5413588636446225
2016-02-20,1.4969775406167125
2016-02-21,1.4345535642998606
2016-02-22,1.359912894313853
2016-02-23,1.2792108269384643
2016-02-24,1.198386205688233
2016-02-25,1.122671417527772
2016-02-26,1.0562002636428105
2016-02-27,1.0017451432271074
2016-02-28,0.9606016935831097
2016-02-29,0.9326243985790716
2016-03-01,0.9164021216271494
2016-03-02,0.9095494184006616
2016-03-03,0.9090790560585468
2016-03-04,0.9118143522271136
2016-03-05,0.9147973300390772
2016-03-06,0.9156504356015835
2016-03-07,0.9128554299494214
2016-03-08,0.905922405186067
2016-03-09,0.8954337149273907
2016-03-10,0.8829607546475868
2016-03-11,0.8708646697491443
2016-03-12,0.8620039163772278
