date,IssueComment
2015-11-18,87.0
2015-11-19,115.09523809523807
2015-11-20,128.80045351473922
2015-11-21,129.2956484180974
2015-11-22,128.21987237827858
2015-11-23,139.2465511993949
2015-11-24,160.93735584707156
2015-11-25,159.3242743378267
2015-11-26,161.9600577342241
2015-11-27,158.53529033096467
2015-11-28,146.00811982325376
2015-11-29,134.578775078182
2015-11-30,137.856986975498
2015-12-01,139.10870250164103
2015-12-02,142.14596893005617
2015-12-03,142.60825760338415
2015-12-04,144.55032830782375
2015-12-05,134.97410656422147
2015-12-06,124.50038212953372
2015-12-07,125.690821926721
2015-12-08,124.48217221941422
2015-12-09,124.43625105566048
2015-12-10,120.68041762178804
2015-12-11,119.28228261018918
2015-12-12,110.96968426636164
2015-12-13,102.21066671718437
2015-12-14,108.9525079822144
2015-12-15,114.19512626962256
2015-12-16,119.89082852965848
2015-12-17,120.28217819350054
2015-12-18,120.16006598459572
2015-12-19,118.0495835098723
2015-12-20,112.52105174702731
2015-12-21,116.47142777111996
2015-12-22,117.6646251262514
2015-12-23,117.60132749517985
2015-12-24,111.7345344004008
2015-12-25,102.52172160036262
2015-12-26,93.99584335270904
2015-12-27,85.80576303340342
2015-12-28,83.53854750641261
2015-12-29,82.63011441056379
2015-12-30,78.951055895272
2015-12-31,72.57476485762704
2016-01-01,66.42478725213876
2016-01-02,60.76528370431602
2016-01-03,59.83525668485735
2016-01-04,66.80332747677569
2016-01-05,73.7744391456542
2016-01-06,76.55782589368714
2016-01-07,78.2189853323836
2016-01-08,80.57908196739469
2016-01-09,74.90488368478567
2016-01-10,69.8663233338537
2016-01-11,78.64095920682001
2016-01-12,83.5322964252181
2016-01-13,89.38636343234019
2016-01-14,92.2067097721173
2016-01-15,88.75845169858232
2016-01-16,82.97193248919353
2016-01-17,77.54603415688939
2016-01-18,78.92260233242374
2016-01-19,79.31092591981195
2016-01-20,80.42417107030606
2016-01-21,79.81234525408644
2016-01-22,80.78259808703058
2016-01-23,78.8033030311229
2016-01-24,72.82203607577785
2016-01-25,73.79136597332281
2016-01-26,87.04933111872063
2016-01-27,99.52082339312818
2016-01-28,105.5664592604493
2016-01-29,110.27441552135888
2016-01-30,103.86732832884852
2016-01-31,96.16567801181532
2016-02-01,98.24513724878528
2016-02-02,106.03131465366288
2016-02-03,107.5521418295045
2016-02-04,107.78527117907552
2016-02-05,108.56762630487783
2016-02-06,103.84689999012758
2016-02-07,95.57576665773448
2016-02-08,94.85426507128358
2016-02-09,102.10623982639942
2016-02-10,114.00088365245662
2016-02-11,115.52460901888932
2016-02-12,113.76036054089988
2016-02-13,105.0212785846237
2016-02-14,96.73353776704047
2016-02-15,94.28272464636996
2016-02-16,95.39865563242996
2016-02-17,94.21783128648424
2016-02-18,96.00660925920002
2016-02-19,94.76788456784764
2016-02-20,92.12332413281452
2016-02-21,89.44491231064171
2016-02-22,98.35492066200916
2016-02-23,102.98778536086544
2016-02-24,113.27466294554492
2016-02-25,118.67707599835016
2016-02-26,116.80306876041206
2016-02-27,108.9170622118014
2016-02-28,101.30591342972508
2016-02-29,111.84820738879888
2016-03-01,121.3864733517704
2016-03-02,124.01633303255416
2016-03-03,130.5862060770728
2016-03-04,130.7208531173516
2016-03-05,121.60458139188954
2016-03-06,112.975573640281
2016-03-07,117.54932853168282
2016-03-08,136.73510676676062
2016-03-09,148.09366802706913
2016-03-10,152.56093773877683
2016-03-11,160.31703890651235
2016-03-12,152.28684472493975
2016-03-13,142.64047856065977
2016-03-14,162.2937663167874
2016-03-15,175.1229314294743
2016-03-16,186.6350331980958
2016-03-17,199.24122051256288
2016-03-18,196.64681855898547
2016-03-19,180.96616917241545
2016-03-20,167.82653401313777
2016-03-21,178.5097212499818
2016-03-22,178.55641446426924
2016-03-23,177.17008927719598
2016-03-24,174.48722363174875
2016-03-25,162.05986900015364
2016-03-26,150.33988147632948
2016-03-27,137.5456070500124
2016-03-28,130.5412635214398
2016-03-29,136.20400032892172
2016-03-30,137.898857440453
2016-03-31,138.95610911279078
2016-04-01,139.43647967347738
2016-04-02,129.77586256171762
2016-04-03,120.84482803203022
2016-04-04,125.71674917183688
2016-04-05,131.17229686975716
2016-04-06,131.155887644066
2016-04-07,135.4267554874883
2016-04-08,133.2908740124894
2016-04-09,124.69174315415708
2016-04-10,114.34014856804689
2016-04-11,114.49822965680433
2016-04-12,111.78411254663249
2016-04-13,114.66181611361984
2016-04-14,118.6940241027989
2016-04-15,134.15173609300854
2016-04-16,129.2801421793887
2016-04-17,126.11060482897072
2016-04-18,137.52864246430684
2016-04-19,141.0021050867538
2016-04-20,147.38285698325345
2016-04-21,161.72734679437215
2016-04-22,165.37236138538432
2016-04-23,156.76546982487153
2016-04-24,146.31161555583614
2016-04-25,147.520033121947
2016-04-26,152.99431568176155
2016-04-27,159.2805713311176
